OS;Numerator;Scene;Accel;Integrator;Seconds;Time
5;30;4;2;1;10;00:00:10
5;31;1;2;2;1621;00:27:01
5;32;3;1;1;480;00:08:00
5;33;4;2;2;23;00:00:23
5;34;3;1;2;669;00:11:09
5;35;2;1;0;529;00:08:49
5;36;3;2;1;676;00:11:16
1;1;2;1;1;86;00:01:26
1;2;2;2;2;187;00:03:07
1;3;4;0;2;17;00:00:17
1;4;1;1;0;1191;00:19:51
1;5;3;0;1;507;00:08:27
1;6;1;1;2;1259;00:20:59
1;7;2;1;2;141;00:02:21
1;8;1;0;0;1185;00:19:45
1;9;3;0;2;752;00:12:32
1;10;2;0;1;87;00:01:27
1;11;2;1;0;380;00:06:20
1;12;3;2;1;645;00:10:45
1;13;1;2;0;1347;00:22:27
1;14;4;1;1;8;00:00:08
1;15;4;1;0;303;00:05:03
1;16;3;2;0;646;00:10:46
1;17;3;1;0;506;00:08:26
1;18;4;2;0;354;00:05:54
1;19;3;1;2;750;00:12:30
1;20;4;1;2;17;00:00:17
1;21;1;0;2;1257;00:20:57
1;22;2;0;0;379;00:06:19
1;23;1;0;1;336;00:05:36
1;24;2;2;1;124;00:02:04
1;25;3;0;0;504;00:08:24
1;26;4;0;0;303;00:05:03
1;27;2;2;0;471;00:07:51
1;28;1;2;2;1408;00:23:28
1;29;3;2;2;865;00:14:25
1;30;2;0;2;143;00:02:23
1;31;1;1;1;336;00:05:36
1;32;3;1;1;509;00:08:29
1;33;4;2;2;21;00:00:21
1;34;4;0;1;8;00:00:08
1;35;1;2;1;392;00:06:32
1;36;4;2;1;10;00:00:10
2;1;1;1;0;714;00:11:54
2;2;4;1;1;4;00:00:04
2;3;2;2;2;119;00:01:59
2;4;1;0;1;140;00:02:20
2;5;4;2;1;5;00:00:05
2;6;2;0;1;54;00:00:54
2;7;4;2;0;193;00:03:13
2;8;4;0;2;8;00:00:08
2;9;2;2;1;81;00:01:21
2;10;3;2;2;466;00:07:46
2;11;3;0;0;270;00:04:30
